hcp_id,hcp_name,specialty,segment,territory,region,total_prescriptions,total_units_dispensed,average_monthly_prescriptions,active_months,product_breadth,total_calls,total_samples_received,average_call_duration,called_product_breadth,last_call_date,prescriptions_per_call,days_since_last_call,no_call_flag,recent_3m_units,previous_3m_units,recent_growth_pct,cluster_id,hcp_segment,segment_strategy,prescription_momentum,efficiency_for_scoring,value_score,momentum_score,low_call_score,recency_gap_score,undercoverage_score,efficiency_score,breadth_score,opportunity_score,segment_priority_rank,segment_score_percentile,priority_tier,recommended_action
H0001,Dr. HCP_0001,Endocrinologist,B,North-1,North,91,3711,9.1,10,5,27,99,21.56,5,2026-03-30,3.37,1,0,958,1067,-10.22,0,Established High-Value,Maintain engagement and protect existing value,-0.10765194463670191,3.37,0.717,0.364,0.33599999999999997,0.092,0.21399999999999997,0.426,0.638,46.91,108,0.32515337423312884,Low Priority,Avoid over-servicing and monitor for meaningful changes
H0002,Dr. HCP_0002,Pulmonologist,C,North-1,North,61,2439,6.1,10,5,55,238,20.78,5,2026-03-28,1.11,3,0,864,846,2.13,0,Established High-Value,Maintain engagement and protect existing value,0.021028812279824116,1.11,0.522,0.53,0.06699999999999995,0.212,0.13949999999999996,0.052,0.638,36.91,148,0.07975460122699386,Low Priority,Avoid over-servicing and monitor for meaningful changes
H0003,Dr. HCP_0003,Endocrinologist,C,Central-1,Central,89,3217,8.9,10,5,40,155,20.35,5,2026-03-22,2.23,9,0,874,982,-11.0,0,Established High-Value,Maintain engagement and protect existing value,-0.11638523378955234,2.23,0.654,0.35,0.17700000000000005,0.454,0.3155,0.288,0.638,45.21,118,0.26380368098159507,Low Priority,Avoid over-servicing and monitor for meaningful changes
H0004,Dr. HCP_0004,Endocrinologist,B,West-2,West,44,1809,4.4,10,5,14,58,21.07,5,2026-02-23,3.14,36,0,641,299,114.38,1,Emerging Growth,Nurture growth through targeted follow-ups,0.7608058290337603,3.14,0.386,0.954,0.615,0.788,0.7015,0.381,0.638,60.29,22,0.89,High Priority,Prioritize targeted follow-ups to support continued growth
H0005,Dr. HCP_0005,Neurologist,A,Central-2,Central,29,1179,2.9,10,4,6,26,22.0,3,2026-03-04,4.83,27,0,411,368,11.68,1,Emerging Growth,Nurture growth through targeted follow-ups,0.11022670530899958,4.83,0.252,0.622,0.833,0.746,0.7895,0.768,0.213,53.39,47,0.765,Medium Priority,Nurture through planned follow-ups and monitor momentum
H0006,Dr. HCP_0006,Oncologist,A,South-2,South,206,7914,20.6,10,5,26,118,17.46,5,2026-03-30,7.92,1,0,2671,2706,-1.29,2,Efficient High-Value,Prioritize selective engagement and expansion,-0.01301375495776469,7.92,0.96,0.45,0.349,0.092,0.22049999999999997,0.912,0.638,63.37,44,0.4691358024691358,Low Priority,Maintain efficient coverage and monitor prescription behaviour
H0007,Dr. HCP_0007,Cardiologist,A,South-2,South,217,8517,21.7,10,5,25,104,17.92,5,2026-03-23,8.68,8,0,2971,2523,17.76,2,Efficient High-Value,Prioritize selective engagement and expansion,0.16339018217654644,8.68,0.976,0.66,0.364,0.431,0.39749999999999996,0.939,0.638,72.88,8,0.9135802469135802,High Priority,Prioritize selective outreach and evaluate expansion opportunities
H0008,Dr. HCP_0008,Pulmonologist,C,West-1,West,23,964,2.3,10,3,17,82,20.76,5,2026-03-17,1.35,14,0,236,363,-34.99,1,Emerging Growth,Nurture growth through targeted follow-ups,-0.42909372650160904,1.35,0.195,0.144,0.522,0.582,0.552,0.112,0.13,25.51,191,0.025,Low Priority,Monitor growth before increasing field engagement
H0009,Dr. HCP_0009,Oncologist,B,West-1,West,48,2111,4.8,9,4,10,36,21.3,4,2026-03-29,4.8,2,0,626,557,12.39,1,Emerging Growth,Nurture growth through targeted follow-ups,0.11658757825161015,4.8,0.46,0.628,0.74,0.158,0.449,0.758,0.213,51.08,62,0.69,Medium Priority,Nurture through planned follow-ups and monitor momentum
H0010,Dr. HCP_0010,Cardiologist,C,North-2,North,68,2853,6.8,10,5,56,254,18.8,5,2026-03-25,1.21,6,0,786,941,-16.47,0,Established High-Value,Maintain engagement and protect existing value,-0.17977702615895996,1.21,0.6,0.306,0.061000000000000054,0.356,0.20850000000000002,0.071,0.638,36.78,149,0.0736196319018405,Low Priority,Avoid over-servicing and monitor for meaningful changes
