rep_id,rep_name,territory,region,manager,tenure_months,total_calls,unique_hcps_reached,products_discussed,total_samples_given,average_call_duration,quarters_measured,total_quota_units,total_actual_units,total_incentive_payout,weighted_attainment_pct,actual_units_per_call,calls_per_hcp,attainment_rank,efficiency_rank,performance_status
R016,Rep_016,North-2,North,Sneha Patel,91,201,57,5,811,19.44,4,6339,7298,345123,115.13,36.31,3.53,1,2,Exceeded Target
R010,Rep_010,North-2,North,Sneha Patel,79,197,54,5,787,19.38,4,4798,5315,322227,110.78,26.98,3.65,2,19,Exceeded Target
R027,Rep_027,West-1,West,Vikram Singh,79,244,52,5,1014,18.75,4,5686,6292,325365,110.66,25.79,4.69,3,20,Exceeded Target
R046,Rep_046,South-2,South,Anil Mehta,81,283,48,5,1076,19.47,4,5208,5746,326309,110.33,20.3,5.9,4,29,Exceeded Target
R040,Rep_040,North-1,North,Rajesh Kumar,72,322,33,5,1309,19.5,4,5029,5545,322172,110.26,17.22,9.76,5,42,Exceeded Target
R009,Rep_009,South-1,South,Priya Sharma,44,340,44,5,1348,20.17,4,5300,5841,334652,110.21,17.18,7.73,6,43,Exceeded Target
R001,Rep_001,North-2,North,Rajesh Kumar,63,215,55,5,913,20.68,4,5778,6326,333095,109.48,29.42,3.91,7,14,Exceeded Target
R024,Rep_024,South-2,South,Sneha Patel,92,226,46,5,867,18.92,4,7269,7919,311248,108.94,35.04,4.91,8,4,Exceeded Target
R030,Rep_030,South-1,South,Sneha Patel,39,374,43,5,1587,19.65,4,6471,6913,320295,106.83,18.48,8.7,9,38,Exceeded Target
R043,Rep_043,Central-1,Central,Priya Sharma,94,296,46,5,1202,20.29,4,6539,6961,318896,106.45,23.52,6.43,10,23,Exceeded Target
R050,Rep_050,Central-2,Central,Priya Sharma,40,293,49,5,1184,20.06,4,5488,5796,298612,105.61,19.78,5.98,11,34,Exceeded Target
R019,Rep_019,Central-1,Central,Priya Sharma,93,194,45,5,709,20.82,4,5073,5282,306826,104.12,27.23,4.31,12,18,Exceeded Target
R032,Rep_032,Central-1,Central,Anil Mehta,32,240,44,5,939,20.13,4,7097,7387,313056,104.09,30.78,5.45,13,11,Exceeded Target
R008,Rep_008,South-1,South,Sneha Patel,68,224,43,5,839,20.07,4,6793,7069,297594,104.06,31.56,5.21,14,8,Exceeded Target
R007,Rep_007,West-2,West,Vikram Singh,31,199,54,5,794,20.48,4,6311,6529,310844,103.45,32.81,3.69,15,7,Exceeded Target
R036,Rep_036,South-1,South,Vikram Singh,71,230,44,5,851,19.67,4,6290,6400,294756,101.75,27.83,5.23,16,17,Exceeded Target
R047,Rep_047,West-2,West,Vikram Singh,47,273,58,5,1029,19.71,4,5836,5905,295887,101.18,21.63,4.71,17,28,Exceeded Target
R022,Rep_022,North-1,North,Anil Mehta,66,236,34,5,951,20.83,4,5790,5834,293979,100.76,24.72,6.94,18,22,Exceeded Target
R041,Rep_041,South-2,South,Rajesh Kumar,107,338,48,5,1343,19.63,4,4818,4832,298522,100.29,14.3,7.04,19,49,Exceeded Target
R029,Rep_029,North-2,North,Rajesh Kumar,51,219,53,5,868,20.52,4,6577,6548,298646,99.56,29.9,4.13,20,12,Near Target
R037,Rep_037,Central-1,Central,Vikram Singh,51,191,45,5,756,19.93,4,6850,6734,296897,98.31,35.26,4.24,21,3,Near Target
R028,Rep_028,South-2,South,Priya Sharma,97,232,46,5,977,20.25,4,6848,6698,290382,97.81,28.87,5.04,22,15,Near Target
R006,Rep_006,South-2,South,Vikram Singh,60,231,45,5,886,19.17,4,7097,6873,302365,96.84,29.75,5.13,23,13,Near Target
R039,Rep_039,North-1,North,Vikram Singh,96,333,34,5,1369,19.54,4,6871,6629,291413,96.48,19.91,9.79,24,32,Near Target
R020,Rep_020,West-1,West,Anil Mehta,105,337,54,5,1301,20.91,4,6391,6126,293958,95.85,18.18,6.24,25,39,Near Target
R011,Rep_011,East-2,East,Vikram Singh,36,183,47,5,656,19.49,4,6502,6209,280727,95.49,33.93,3.89,26,6,Near Target
R023,Rep_023,North-2,North,Priya Sharma,73,326,57,5,1299,19.46,4,6861,6547,273569,95.42,20.08,5.72,27,30,Near Target
R026,Rep_026,Central-1,Central,Vikram Singh,109,307,46,5,1206,19.26,4,5197,4935,283279,94.96,16.07,6.67,28,46,Near Target
R014,Rep_014,Central-2,Central,Priya Sharma,37,180,48,5,735,20.16,4,6622,6145,268476,92.8,34.14,3.75,29,5,Near Target
R048,Rep_048,South-2,South,Priya Sharma,76,207,44,5,842,19.97,4,4442,4107,275043,92.46,19.84,4.7,30,33,Near Target
R033,Rep_033,North-2,North,Vikram Singh,76,251,56,5,1008,19.69,4,5322,4909,295527,92.24,19.56,4.48,31,36,Near Target
R044,Rep_044,Central-1,Central,Priya Sharma,101,280,43,5,1144,20.8,4,4380,4026,270594,91.92,14.38,6.51,32,48,Near Target
